,image,final_labels,labels
26837,../images/nandu_s_001816.png,,2
2592,../images/freighter_s_000251.png,,8
18359,../images/toad_frog_s_001129.png,,6
73292,../images/shark_s_001489.png,73.0,10
60127,../images/pickup_truck_s_000482.png,58.0,14
71737,../images/mako_shark_s_002069.png,73.0,10
26473,../images/mongrel_s_000448.png,,5
1040,../images/honey_eater_s_000563.png,,2
32622,../images/gondola_s_000048.png,,8
44679,../images/estate_car_s_000525.png,,1
17262,../images/finch_s_000740.png,,2
65288,../images/pickup_s_001114.png,58.0,14
9908,../images/alley_cat_s_002584.png,,3
70558,../images/rose_s_000153.png,70.0,11
5897,../images/station_wagon_s_001401.png,,1
46462,../images/sea_boat_s_000774.png,,8
2679,../images/freighter_s_000756.png,,8
30356,../images/puppy_s_002196.png,,5
36732,../images/auto_s_000219.png,,1
48199,../images/maltese_dog_s_000271.png,,5
46284,../images/bird_s_002244.png,,2
63364,../images/red_delicious_s_000752.png,0.0,12
61468,../images/stingray_s_001719.png,67.0,10
35392,../images/lippizan_s_000092.png,,7
67323,../images/ordinary_bicycle_s_000104.png,8.0,14
58404,../images/sparrow_s_000114.png,,2
64251,../images/poppy_s_000043.png,62.0,11
39533,../images/mouser_s_001187.png,,3
5013,../images/delivery_van_s_000251.png,,9
26064,../images/felis_catus_s_001270.png,,3
2880,../images/camion_s_001784.png,,9
34983,../images/lifeboat_s_000388.png,,8
26211,../images/leopard_frog_s_001937.png,,6
31429,../images/capreolus_capreolus_s_001559.png,,4
37272,../images/chihuahua_s_001850.png,,5
55676,../images/green_frog_s_001293.png,,6
65255,../images/pickup_s_001088.png,58.0,14
70791,../images/poppy_s_001738.png,62.0,11
47128,../images/wrecker_s_001626.png,,9
1518,../images/gelding_s_001396.png,,7
12639,../images/domestic_cat_s_001324.png,,3
30556,../images/gelding_s_001162.png,,7
31754,../images/domestic_cat_s_001123.png,,3
25096,../images/liner_s_000155.png,,8
26319,../images/grass_frog_s_000684.png,,6
13824,../images/tomcat_s_001751.png,,3
12761,../images/multiengine_airplane_s_000134.png,,0
17530,../images/tabby_s_001737.png,,3
36512,../images/dump_truck_s_000006.png,,9
39692,../images/compact_car_s_001047.png,,1
24924,../images/tip_truck_s_001526.png,,9
29058,../images/apteryx_s_001131.png,,2
74965,../images/bartlett_s_000222.png,57.0,12
64402,../images/railroad_train_s_000856.png,90.0,14
454,../images/auto_s_002359.png,,1
56465,../images/felis_domesticus_s_000545.png,,3
5414,../images/airliner_s_001888.png,,0
49011,../images/outboard_motorboat_s_000219.png,,8
48076,../images/liberty_ship_s_001693.png,,8
53332,../images/broodmare_s_000428.png,,7
62550,../images/school_bus_s_001438.png,13.0,14
9724,../images/deer_s_000524.png,,4
38074,../images/puppy_s_000988.png,,5
20438,../images/car_s_001609.png,,1
68373,../images/mountain_rose_s_000484.png,70.0,11
45720,../images/rana_pipiens_s_000639.png,,6
19759,../images/arabian_s_000664.png,,7
26995,../images/bird_s_001254.png,,2
38781,../images/tabby_cat_s_001026.png,,3
24103,../images/american_toad_s_000473.png,,6
74673,../images/turbot_s_000179.png,32.0,10
66278,../images/car_train_s_000568.png,90.0,14
67815,../images/nile_crocodile_s_000709.png,27.0,13
30452,../images/cat_s_002292.png,,3
9405,../images/cat_s_002662.png,,3
10474,../images/bird_s_001435.png,,2
3882,../images/tipper_lorry_s_000197.png,,9
3799,../images/toy_s_002835.png,,5
72772,../images/pear_s_001336.png,57.0,12
52348,../images/capreolus_capreolus_s_000102.png,,4
15681,../images/powerboat_s_000832.png,,8
22204,../images/stud_mare_s_000120.png,,7
71809,../images/turtle_s_001982.png,93.0,13
64263,../images/pickup_s_000704.png,58.0,14
34167,../images/roe_deer_s_000012.png,,4
58647,../images/alces_alces_s_000166.png,,4
5918,../images/domestic_cat_s_001116.png,,3
29360,../images/true_frog_s_000210.png,,6
8923,../images/pekinese_s_000203.png,,5
16814,../images/true_cat_s_000025.png,,3
51446,../images/fighter_s_000908.png,,0
33711,../images/stealth_bomber_s_000032.png,,0
17808,../images/alauda_arvensis_s_001305.png,,2
50156,../images/sparrow_s_000300.png,,2
52789,../images/camion_s_000022.png,,9
549,../images/barren_ground_caribou_s_000174.png,,4
14848,../images/stealth_bomber_s_001882.png,,0
55576,../images/puppy_s_001743.png,,5
68058,../images/cycle_s_002015.png,8.0,14
26332,../images/attack_aircraft_s_001069.png,,0
14121,../images/maltese_s_001185.png,,5
34412,../images/stallion_s_001061.png,,7
65515,../images/butterfly_orchid_s_001123.png,54.0,11
44154,../images/peke_s_000005.png,,5
7454,../images/pekingese_s_000713.png,,5
23069,../images/bird_s_000041.png,,2
45346,../images/meadow_pipit_s_000277.png,,2
58549,../images/wagon_s_001836.png,,1
41174,../images/struthio_camelus_s_000778.png,,2
28665,../images/stealth_bomber_s_001323.png,,0
70521,../images/bell_pepper_s_000345.png,83.0,12
34258,../images/compact_car_s_000511.png,,1
13267,../images/saddle_horse_s_000510.png,,7
8708,../images/appaloosa_s_000875.png,,7
8194,../images/spring_frog_s_000902.png,,6
19619,../images/compact_car_s_000612.png,,1
44866,../images/airbus_s_001621.png,,0
34339,../images/arabian_s_001022.png,,7
61371,../images/gecko_s_000190.png,44.0,13
54609,../images/cargo_ship_s_000801.png,,8
14981,../images/bullfrog_s_000211.png,,6
53586,../images/ship_s_000993.png,,8
72965,../images/sunflower_s_000035.png,82.0,11
34805,../images/leopard_frog_s_001962.png,,6
22549,../images/mouser_s_000693.png,,3
21860,../images/alauda_arvensis_s_000547.png,,2
40445,../images/lightship_s_001254.png,,8
42562,../images/bufo_marinus_s_000890.png,,6
14998,../images/articulated_lorry_s_000537.png,,9
27583,../images/riding_horse_s_001240.png,,7
8053,../images/rana_catesbeiana_s_000359.png,,6
39943,../images/nandu_s_000428.png,,2
34858,../images/tabby_s_002298.png,,3
49340,../images/plane_s_000139.png,,0
60054,../images/flounder_s_000557.png,32.0,10
253,../images/house_cat_s_001471.png,,3
63901,../images/gecko_s_001297.png,44.0,13
13121,../images/pekingese_s_000717.png,,5
69331,../images/macoun_s_000087.png,0.0,12
15940,../images/struthio_camelus_s_000554.png,,2
36514,../images/elk_s_000812.png,,4
33345,../images/domestic_cat_s_000469.png,,3
26213,../images/bird_s_000017.png,,2
1221,../images/cervus_elaphus_s_000206.png,,4
10020,../images/monoplane_s_001332.png,,0
15682,../images/felis_domesticus_s_000673.png,,3
70279,../images/goldfish_s_002794.png,1.0,10
49286,../images/compact_car_s_000452.png,,1
56609,../images/maltese_s_000616.png,,5
69523,../images/colubrid_s_000865.png,78.0,13
8750,../images/passerine_s_001365.png,,2
14513,../images/rana_temporaria_s_000957.png,,6
22176,../images/southwestern_toad_s_000135.png,,6
63048,../images/lady_tulip_s_000637.png,92.0,11
50841,../images/jumbo_jet_s_000956.png,,0
25033,../images/walking_horse_s_001329.png,,7
8188,../images/maltese_s_000547.png,,5
47412,../images/camion_s_000520.png,,9
56564,../images/maltese_dog_s_001156.png,,5
17003,../images/felis_catus_s_000162.png,,3
11458,../images/house_cat_s_000022.png,,3
37292,../images/arabian_s_001377.png,,7
22515,../images/ostrich_s_001189.png,,2
51282,../images/delivery_truck_s_001706.png,,9
51847,../images/domestic_dog_s_000360.png,,5
64763,../images/bike_s_000722.png,8.0,14
61289,../images/dwarf_tulip_s_000111.png,92.0,11
37836,../images/cavalry_horse_s_001144.png,,7
20686,../images/jumbojet_s_000714.png,,0
5610,../images/felis_catus_s_000689.png,,3
33929,../images/emu_s_001568.png,,2
27529,../images/lipizzan_s_000710.png,,7
26438,../images/dredger_s_000640.png,,8
5706,../images/elk_s_000038.png,,4
72381,../images/halibut_s_000670.png,32.0,10
30450,../images/fallow_deer_s_001066.png,,4
16526,../images/tabby_s_001323.png,,3
62684,../images/valencia_orange_s_000601.png,53.0,12
72025,../images/train_s_001811.png,90.0,14
47946,../images/stealth_fighter_s_001765.png,,0
12229,../images/arab_s_000037.png,,7
35417,../images/monoplane_s_001067.png,,0
54826,../images/house_cat_s_000077.png,,3
53691,../images/convertible_s_001663.png,,1
62379,../images/safety_bicycle_s_000235.png,8.0,14
60419,../images/rainbow_trout_s_001329.png,91.0,10
57005,../images/police_cruiser_s_001174.png,,1
12241,../images/felis_domesticus_s_000043.png,,3
71818,../images/lizard_s_000429.png,44.0,13
61448,../images/rainbow_trout_s_001140.png,91.0,10
41496,../images/gelding_s_001708.png,,7
30833,../images/european_toad_s_000079.png,,6
29138,../images/deer_s_001925.png,,4
39900,../images/alytes_obstetricans_s_000409.png,,6
70141,../images/rainbow_trout_s_000353.png,91.0,10
3425,../images/sea_boat_s_000714.png,,8
43061,../images/coupe_s_001285.png,,1
26106,../images/felis_catus_s_000307.png,,3
58270,../images/rana_pipiens_s_001294.png,,6
4779,../images/container_ship_s_000707.png,,8
29585,../images/fire_truck_s_001045.png,,9
51240,../images/pipit_s_000203.png,,2
58822,../images/alytes_obstetricans_s_000185.png,,6
967,../images/motorboat_s_000773.png,,8
12257,../images/attack_aircraft_s_001389.png,,0
7168,../images/jetliner_s_001828.png,,0
49049,../images/accentor_s_000288.png,,2
21847,../images/truck_s_002181.png,,9
62250,../images/orchid_s_000034.png,54.0,11
5879,../images/bufo_boreas_s_000268.png,,6
50881,../images/deer_s_001957.png,,4
42492,../images/true_cat_s_001342.png,,3
26412,../images/jetliner_s_001627.png,,0
410,../images/boat_s_001280.png,,8
32393,../images/toy_spaniel_s_001074.png,,5
38141,../images/bullfrog_s_001197.png,,6
23754,../images/biplane_s_000505.png,,0
48410,../images/mouser_s_000588.png,,3
28748,../images/meadow_pipit_s_000526.png,,2
37470,../images/pekingese_s_001281.png,,5
70479,../images/bus_s_002448.png,13.0,14
62772,../images/mushroom_s_000426.png,51.0,12
34086,../images/dunnock_s_001234.png,,2
56671,../images/pekingese_s_001142.png,,5
25126,../images/iceboat_s_000096.png,,8
42081,../images/estate_car_s_001214.png,,1
15578,../images/sambar_s_001011.png,,4
20214,../images/police_cruiser_s_001009.png,,1
37397,../images/emu_s_002059.png,,2
32732,../images/tabby_cat_s_002323.png,,3
56193,../images/fire_truck_s_001395.png,,9
52530,../images/toad_frog_s_000060.png,,6
48561,../images/cat_s_001786.png,,3
