,image,final_labels,labels
66436,../images/wax_palm_s_000242.png,56.0,27
65664,../images/trout_s_001240.png,91.0,11
49977,../images/estate_car_s_000980.png,,1
2693,../images/bird_s_001350.png,,2
24968,../images/convertible_s_000531.png,,1
4394,../images/muntjac_s_001145.png,,4
19252,../images/pekinese_s_001798.png,,5
73311,../images/acer_saccharum_s_000131.png,47.0,27
33070,../images/deer_s_000183.png,,4
28719,../images/appaloosa_s_001086.png,,7
7380,../images/flightless_bird_s_000125.png,,2
63931,../images/baby_s_000332.png,2.0,24
56383,../images/tomcat_s_000395.png,,3
41182,../images/tomcat_s_001879.png,,3
65644,../images/infant_s_001335.png,2.0,24
1051,../images/bufo_viridis_s_000638.png,,6
38210,../images/maltese_s_002147.png,,5
3083,../images/tennessee_walker_s_001674.png,,7
49896,../images/tabby_s_001234.png,,3
68960,../images/butterfly_orchid_s_001028.png,54.0,12
37023,../images/sea_boat_s_001956.png,,8
70117,../images/rose_s_002275.png,70.0,12
63239,../images/sweet_pepper_s_000802.png,83.0,24
47267,../images/amphibious_aircraft_s_000337.png,,0
49306,../images/tabby_s_001591.png,,3
18605,../images/dive_bomber_s_000370.png,,0
20483,../images/mongrel_s_001708.png,,5
66002,../images/sunflower_s_000661.png,82.0,12
27982,../images/cargo_ship_s_002375.png,,8
39699,../images/dumper_s_000460.png,,9
70229,../images/orchid_s_000412.png,54.0,12
29653,../images/stealth_bomber_s_001713.png,,0
37011,../images/maltese_s_001190.png,,5
31354,../images/cargo_ship_s_000747.png,,8
39269,../images/flying_bird_s_001380.png,,2
59338,../images/tabby_cat_s_002286.png,,3
73194,../images/northern_spy_s_000871.png,0.0,24
30456,../images/dog_s_002086.png,,5
19413,../images/freighter_s_000845.png,,8
48934,../images/canis_familiaris_s_000974.png,,5
62527,../images/mushroom_s_001005.png,51.0,24
7330,../images/wagtail_s_001642.png,,2
52092,../images/car_s_000281.png,,1
62889,../images/scarlet_oak_s_000004.png,52.0,27
2908,../images/delivery_van_s_000960.png,,9
65494,../images/boy_s_001233.png,11.0,24
45281,../images/tennessee_walking_horse_s_000275.png,,7
15596,../images/deer_s_001471.png,,4
43691,../images/grass_frog_s_001347.png,,6
66512,../images/rosebush_s_001994.png,70.0,12
14293,../images/western_toad_s_000686.png,,6
20043,../images/maltese_dog_s_001231.png,,5
29723,../images/muntjac_s_000297.png,,4
