,image,final_labels,labels
34791,../images/estate_car_s_001692.png,,1
7090,../images/dog_s_002203.png,,5
42338,../images/equus_caballus_s_000010.png,,7
47121,../images/tractor_trailer_s_002074.png,,9
35264,../images/beach_wagon_s_000083.png,,1
31567,../images/alley_cat_s_001522.png,,3
53191,../images/fighter_aircraft_s_000330.png,,0
39249,../images/caribou_s_002156.png,,4
14382,../images/mule_deer_s_000327.png,,4
61491,../images/boy_s_000077.png,11.0,24
46678,../images/amphibious_aircraft_s_000418.png,,0
41106,../images/leopard_frog_s_001545.png,,6
71402,../images/anjou_s_000467.png,57.0,24
25850,../images/rana_clamitans_s_000581.png,,6
18352,../images/walking_horse_s_001962.png,,7
71380,../images/yellowtail_flounder_s_000306.png,32.0,11
66224,../images/poppy_s_000051.png,62.0,12
3255,../images/dawn_horse_s_001871.png,,7
63651,../images/boy_s_001196.png,11.0,24
30644,../images/bufo_bufo_s_000793.png,,6
14988,../images/ostrich_s_001258.png,,2
3998,../images/barge_s_000082.png,,8
55613,../images/pekingese_s_001294.png,,5
31759,../images/passerine_s_001231.png,,2
14909,../images/biplane_s_000110.png,,0
30448,../images/lightship_s_000746.png,,8
73399,../images/black_woman_s_000289.png,98.0,24
39879,../images/lorry_s_001550.png,,9
66354,../images/cichlid_s_000021.png,1.0,11
54522,../images/wagtail_s_001524.png,,2
35730,../images/speedboat_s_000776.png,,8
6814,../images/ambulance_s_000747.png,,1
23774,../images/chihuahua_s_002065.png,,5
40141,../images/stallion_s_001980.png,,7
44119,../images/mongrel_s_001646.png,,5
14312,../images/monoplane_s_000351.png,,0
41662,../images/emu_s_001947.png,,2
58858,../images/european_toad_s_000222.png,,6
41215,../images/station_wagon_s_001039.png,,1
48416,../images/stealth_fighter_s_000962.png,,0
71672,../images/pear_s_001900.png,57.0,24
62887,../images/pine_s_000470.png,59.0,27
56240,../images/honey_eater_s_001239.png,,2
71795,../images/female_child_s_000299.png,35.0,24
50367,../images/tabby_s_000602.png,,3
10739,../images/puppy_s_000939.png,,5
16127,../images/cargo_ship_s_001872.png,,8
8190,../images/airbus_s_000709.png,,0
51592,../images/sambar_s_000439.png,,4
48171,../images/moving_van_s_000424.png,,9
32506,../images/cargo_vessel_s_002146.png,,8
4003,../images/pilot_boat_s_000050.png,,8
30266,../images/tabby_cat_s_001139.png,,3
70677,../images/sunflower_s_000038.png,82.0,12
47113,../images/convertible_s_000710.png,,1
34582,../images/boat_s_000878.png,,8
7632,../images/bullfrog_s_000691.png,,6
28372,../images/fallow_deer_s_000676.png,,4
20971,../images/broodmare_s_000613.png,,7
59156,../images/spadefoot_s_000699.png,,6
55899,../images/compact_car_s_001579.png,,1
13475,../images/delivery_truck_s_001502.png,,9
18718,../images/pontoon_s_002020.png,,8
68955,../images/quercus_coccinea_s_000497.png,52.0,27
5340,../images/struthio_camelus_s_000655.png,,2
22347,../images/spring_frog_s_000588.png,,6
27732,../images/maltese_s_001002.png,,5
18056,../images/elk_s_001083.png,,4
9725,../images/stallion_s_000153.png,,7
74670,../images/mako_shark_s_000947.png,73.0,11
37278,../images/apteryx_s_000197.png,,2
6532,../images/dama_dama_s_000082.png,,4
47296,../images/trucking_rig_s_001263.png,,9
18247,../images/auto_s_001287.png,,1
71436,../images/quercus_robur_s_001343.png,52.0,27
20266,../images/lark_s_001169.png,,2
41087,../images/compact_car_s_001254.png,,1
36625,../images/american_toad_s_001614.png,,6
56927,../images/maltese_s_000234.png,,5
65069,../images/lady_tulip_s_000709.png,92.0,12
29941,../images/biplane_s_001127.png,,0
26533,../images/quarter_horse_s_000230.png,,7
74782,../images/navel_orange_s_000400.png,53.0,24
11264,../images/police_cruiser_s_000788.png,,1
6601,../images/tennessee_walker_s_000452.png,,7
52533,../images/pilot_boat_s_001550.png,,8
70545,../images/quercus_robur_s_000327.png,52.0,27
25197,../images/lipizzan_s_000286.png,,7
19513,../images/canal_boat_s_000165.png,,8
55500,../images/houseboat_s_000013.png,,8
74798,../images/mushroom_s_002331.png,51.0,24
44940,../images/attack_aircraft_s_000799.png,,0
9080,../images/coupe_s_001201.png,,1
30739,../images/bufo_americanus_s_000209.png,,6
27929,../images/lipizzan_s_000792.png,,7
41463,../images/wagon_s_001413.png,,1
41526,../images/dawn_horse_s_000768.png,,7
49924,../images/dredger_s_000037.png,,8
3333,../images/oil_tanker_s_001846.png,,8
30596,../images/bird_s_000304.png,,2
14796,../images/monoplane_s_000242.png,,0
10537,../images/freighter_s_001580.png,,8
12170,../images/coupe_s_000919.png,,1
17101,../images/attack_aircraft_s_001499.png,,0
32012,../images/maltese_s_002211.png,,5
11998,../images/cat_s_000922.png,,3
17119,../images/tennessee_walker_s_000315.png,,7
6701,../images/convertible_s_000104.png,,1
30255,../images/lipizzan_s_000078.png,,7
